"x","y"
-41.645833333167,-20.5874999996667
-41.6624999998352,-20.595833333
-41.7124999998397,-20.6541666663333
-41.7374999998419,-20.670833333
-41.6708333331693,-20.670833333
-41.7124999998397,-20.6791666663333
-41.6791666665034,-20.6874999996667
-41.7374999998419,-20.7041666663333
-41.7624999998442,-20.720833333
-41.7208333331738,-20.720833333
-41.7208333331738,-20.7291666663333
-41.7874999998464,-20.745833333
-41.7708333331783,-20.745833333
-41.745833333176,-20.745833333
-41.8041666665146,-20.7874999996667
-41.845833333185,-20.8124999996667
-41.8958333331895,-20.8624999996667
-41.9874999998643,-20.9791666663333
-41.954166666528,-20.9791666663333
-41.9624999998621,-20.995833333
-42.0208333332007,-21.0874999996667
-42.0458333332029,-21.095833333
-41.9958333331984,-21.095833333
-42.0124999998666,-21.1291666663333
-41.9874999998643,-21.1541666663333
-42.0208333332007,-21.1624999996667
-42.1291666665437,-21.1874999996667
-42.1208333332096,-21.1874999996667
-42.1124999998756,-21.195833333
-42.0874999998733,-21.195833333
-41.9874999998643,-21.2124999996667
-42.0291666665348,-21.2374999996667
-42.0208333332007,-21.2374999996667
-41.9874999998643,-21.2374999996667
-41.9791666665303,-21.2374999996667
-42.0791666665392,-21.245833333
-42.1124999998756,-21.2624999996667
-42.1458333332119,-21.270833333
-42.0291666665348,-21.270833333
-41.954166666528,-21.270833333
-42.1791666665482,-21.2791666663333
-42.1458333332119,-21.2874999996667
-42.1291666665437,-21.2874999996667
-41.9624999998621,-21.2874999996667
-42.1874999998823,-21.295833333
-42.16249999988,-21.295833333
-41.9791666665303,-21.295833333
-42.0791666665392,-21.3041666663333
-42.0458333332029,-21.3041666663333
-42.0791666665392,-21.3124999996667
-42.0458333332029,-21.3124999996667
-42.0124999998666,-21.3124999996667
-42.0041666665325,-21.3124999996667
-42.16249999988,-21.320833333
-42.1291666665437,-21.320833333
-41.9208333331917,-21.3374999996667
-42.1958333332164,-21.345833333
-42.154166666546,-21.3541666663333
-42.1874999998823,-21.3624999996667
-42.054166666537,-21.3624999996667
-42.2458333332209,-21.370833333
-42.2374999998868,-21.370833333
-42.0708333332052,-21.370833333
-42.2208333332186,-21.3791666663333
-41.9291666665258,-21.3791666663333
-41.9124999998576,-21.3791666663333
-41.8958333331895,-21.3791666663333
-41.9791666665303,-21.3874999996667
-41.9374999998599,-21.3874999996667
-41.9208333331917,-21.3874999996667
-42.154166666546,-21.395833333
-42.0041666665325,-21.4124999996667
-41.8874999998554,-21.420833333
-42.2874999998913,-21.4291666663333
-41.9624999998621,-21.4291666663333
-42.2874999998913,-21.4374999996667
-42.2458333332209,-21.4374999996667
-42.2041666665504,-21.4374999996667
-42.262499999889,-21.445833333
-42.3374999998957,-21.4541666663333
-42.1874999998823,-21.4541666663333
-42.3374999998957,-21.4624999996667
-42.2874999998913,-21.4624999996667
-42.3124999998935,-21.470833333
-42.3041666665594,-21.470833333
-42.1208333332096,-21.470833333
-42.1208333332096,-21.4874999996667
-42.2874999998913,-21.495833333
-42.2291666665527,-21.495833333
-42.3874999999002,-21.5041666663333
-42.3041666665594,-21.5124999996667
-42.2874999998913,-21.5124999996667
-42.3874999999002,-21.5374999996667
-42.4124999999025,-21.545833333
-42.2958333332253,-21.5541666663333
-42.2791666665572,-21.5541666663333
-42.3458333332298,-21.570833333
-42.3208333332276,-21.570833333
-42.4374999999047,-21.5874999996667
-42.4041666665684,-21.595833333
-42.362499999898,-21.595833333
-42.3874999999002,-21.6041666663333
-42.3541666665639,-21.6041666663333
-42.3208333332276,-21.6124999996667
-42.4791666665751,-21.620833333
-42.462499999907,-21.6291666663333
-42.3708333332321,-21.6291666663333
-42.3874999999002,-21.6374999996667
-42.3291666665617,-21.645833333
-42.3708333332321,-21.6874999996667
-42.3374999998957,-21.6874999996667
-42.4208333332365,-21.7041666663333
-42.4958333332433,-21.7124999996667
-42.4791666665751,-21.7124999996667
-42.4041666665684,-21.7124999996667
-42.3958333332343,-21.7124999996667
-42.3541666665639,-21.7124999996667
-42.5541666665818,-21.7291666663333
-42.4874999999092,-21.7291666663333
-42.4374999999047,-21.745833333
-42.5041666665774,-21.7541666663333
-42.4208333332365,-21.7541666663333
-42.5791666665841,-21.770833333
-42.5374999999137,-21.770833333
-42.5124999999114,-21.770833333
-42.5041666665774,-21.7874999996667
-42.4208333332365,-21.7874999996667
-42.4458333332388,-21.8041666663333
-42.5624999999159,-21.820833333
-42.3791666665661,-21.820833333
-42.5874999999182,-21.8291666663333
-42.3874999999002,-21.8374999996667
-42.8291666666065,-22.9124999996667
-42.8041666666043,-22.9374999996667
-42.8041666666043,-22.945833333
-42.7874999999361,-22.9541666663333
-42.8291666666065,-22.9624999996667
