"x","y"
-37.8708333327419,-10.6791666669918
-38.5708333327896,-10.6875000003248
-38.0458333327538,-10.7041666669907
-38.9958333328186,-10.7375000003226
-38.5708333327896,-10.7458333336555
-38.4791666661167,-10.7458333336555
-39.4041666661797,-10.7541666669885
-38.5458333327879,-10.7625000003215
-38.0874999994233,-10.7791666669874
-38.7958333328049,-10.7875000003204
-38.287499999437,-10.8041666669863
-39.4791666661848,-10.8125000003193
-38.2958333327709,-10.8291666669852
-40.4541666662513,-10.8625000003171
-38.2208333327658,-10.9208333336479
-39.9791666662189,-11.0458333336424
-38.3624999994421,-11.0625000003083
-38.4374999994472,-11.0708333336413
-39.4374999995153,-11.1041666669732
-39.4041666661797,-11.1208333336391
-38.6874999994642,-11.145833333638
-39.7541666662036,-11.154166666971
-39.0708333328237,-11.1791666669699
-39.5374999995221,-11.1875000003028
-38.6458333327947,-11.1958333336358
-38.3458333327743,-11.2125000003018
-39.7374999995358,-11.2291666669677
-38.3624999994421,-11.2708333336325
-40.1458333328969,-11.2875000002985
-39.0541666661559,-11.3958333336271
-39.5791666661917,-11.4375000002919
-39.8458333328765,-11.4958333336227
-40.2708333329055,-11.5041666669556
-39.3458333328424,-11.5125000002886
-38.787499999471,-11.5958333336183
-40.8791666662802,-11.6041666669513
-40.9458333329515,-11.6125000002842
-40.479166666253,-11.6291666669502
-39.9291666662155,-11.679166666948
-39.6624999995307,-11.6875000002809
-40.5124999995886,-11.7375000002788
-40.2374999995698,-11.7458333336117
-39.4374999995153,-11.7625000002777
-39.0124999994864,-11.8208333336084
-39.0791666661576,-11.8375000002744
-40.8208333329429,-11.8708333336062
-38.5624999994557,-11.8791666669392
-40.5208333329225,-11.8875000002722
-40.2541666662377,-11.8875000002722
-39.970833332885,-11.8958333336051
-41.0291666662905,-11.9708333336019
-40.9624999996193,-11.9958333336008
-38.7124999994659,-12.0125000002667
-38.6874999994642,-12.0291666669326
-40.3791666662462,-12.0875000002634
-40.054166666224,-12.0875000002634
-39.7624999995375,-12.1041666669294
-39.5208333328543,-12.1208333335953
-38.7791666661371,-12.1291666669283
-40.645833332931,-12.1375000002612
-40.2291666662359,-12.1375000002612
-41.3541666663126,-12.1541666669272
-39.5374999995221,-12.1625000002601
-39.2458333328356,-12.1791666669261
-38.8291666661405,-12.204166666925
-40.4208333329157,-12.2208333335909
-39.5208333328543,-12.2291666669239
-39.0124999994864,-12.2291666669239
-40.4874999995869,-12.2708333335887
-40.1958333329003,-12.3541666669184
-40.137499999563,-12.3625000002514
-39.7374999995358,-12.4375000002481
-39.045833332822,-12.454166666914
-39.462499999517,-12.47083333358
-39.0958333328254,-12.5125000002448
-39.3374999995085,-12.5208333335778
-40.0124999995545,-12.5291666669107
-40.8541666662785,-12.5375000002437
-40.3708333329123,-12.6208333335734
-41.2208333329702,-12.6291666669064
-40.220833332902,-12.6958333335701
-40.6541666662649,-12.7041666669031
-41.1208333329634,-12.7791666668998
-40.7374999996039,-12.8125000002317
-41.0874999996278,-12.8375000002306
-41.0791666662939,-12.8541666668965
-40.895833332948,-12.8708333335624
-40.3624999995784,-12.8708333335624
-40.2958333329072,-12.9125000002273
-40.3624999995784,-12.9541666668921
-40.1958333329003,-12.9541666668921
-40.8291666662768,-12.979166666891
-40.987499999621,-13.0458333335548
-41.2041666663024,-13.1041666668855
-39.9791666662189,-13.1125000002185
-40.5708333329259,-13.1208333335515
-41.1958333329685,-13.1958333335482
-40.6874999996005,-13.1958333335482
-40.3291666662428,-13.2208333335471
-40.6541666662649,-13.245833333546
-40.4958333329208,-13.2625000002119
-40.6291666662632,-13.3291666668757
-40.6958333329344,-13.4208333335383
-40.5874999995937,-13.520833333534
-40.9291666662836,-13.5541666668658
-41.1374999996312,-13.6375000001955
-41.07083333296,-13.7125000001922
-40.2958333329072,-13.779166666856
-40.9958333329549,-13.8041666668549
-40.7124999996022,-13.8625000001857
-41.1374999996312,-13.9125000001835
-40.3291666662428,-13.9125000001835
-40.8874999996141,-13.9875000001802
-40.4291666662496,-14.0625000001769
-40.812499999609,-14.2791666668341
-40.479166666253,-14.287500000167
-40.4208333329157,-14.3375000001648
-40.6958333329344,-14.3458333334978
-40.3791666662462,-14.3791666668297
-40.8624999996124,-14.4291666668275
-40.4374999995835,-14.4291666668275
-40.8624999996124,-14.4708333334923
-41.0624999996261,-14.570833333488
-40.8708333329463,-15.1375000001298
-40.9291666662836,-15.3708333334529
-40.5291666662564,-15.4625000001156
-40.9208333329497,-15.5125000001134
-40.7041666662683,-15.5458333334452
-40.7374999996039,-15.5875000001101
-40.8374999996107,-15.7958333334343
-40.7874999996073,-15.8125000001002
-40.6791666662666,-16.0041666667585
-40.0124999995545,-16.2125000000827
-40.7541666662717,-16.2208333334157
-40.1458333328969,-16.395833333408
-40.395833332914,-16.5958333333992
-40.0874999995596,-16.6041666667322
-40.137499999563,-16.6375000000641
-40.6958333329344,-16.7375000000597
-40.2041666662342,-16.7958333333905
-40.4958333329208,-16.8958333333861
